,utterance,find_train,book_train,NONE
0,i need a train on tuesday out of kings lynn,1,0,0
1,I want to leave on Tuesday.,1,0,0
2,I'd like to leave after 9:30.,1,0,0
3,Looking for a train Tuesday leaving kings lynn after 9:30 to go to cambridge.,1,0,0
4,"No, I'd like a train leaving after 09:30 departing from Kings Lynn and going to Cambridge. Please take another look?",1,0,0
5,"Wow...no, I really needed that time. I guess not. Thanks anyway.",1,0,0
6,"Yes, that works. Please book for two people. Thanks for checking again.",0,1,0
7,Perfect. Thank you for your help. Have a great day. Bye.,0,0,1
8,Have a nice day.,0,1,0
9,Please find me a train from cambridge to stansted airport,1,0,0
10,Saturday leaving Cambridge anytime after 20:00 please,1,0,0
11,Can you book me 6 tickets please?,0,1,0
12,I am also looking for The Riverside Brasserie.,0,0,1
13,"Yes, I would like to book it and get a reference number.",0,0,1
14,Can you try for Saturday at 13:00?,0,1,0
15,6 people will be dining,0,0,1
16,Thanks for everything you have been great!,0,0,1
17,No that is all I needed. Thank you ever so kindly.,0,0,1
18,I'm looking for an expensive restaurant in the centre if you could help me.,0,0,1
19,"No, not really. I think I'd like to try something different. Could you suggest something?",0,0,1
20,"Yes, I would like both the phone number and the postcode please.",0,0,1
21,Can I also have the address please?,0,0,1
22,I also want to see the travel times for a train going from Kings Lynn from Cambridge on Saturday. It should leave after 09:15.,1,0,0
23,I got that backwards. Need a train leaving Kings Lynn after 9:15 and arriving in Cambridge sometime on Saturday.,1,0,0
24,Sure. Could you tell me the exact travel time?,1,0,0
25,that is it for today. good day thank you,0,0,1
26,"Hi, I'd like to book a train to stansted airport from cambridge. Can you help?",1,0,0
27,"From Cambridge, which is why I asked the Cambridge TownInfo centre.",1,0,0
28,On Saturday. Is there a train that will arrive by 15:15?,1,0,0
29,No need to book it. Thanks. But can you help me find a cheap restaurant in the south?,0,0,1
30,The Lucky Star sounds good. That's all I need.,0,0,1
31,Can you also tell me the postcode?,0,0,1
32,Thanks for your help. Good bye.,0,0,1
33,I want a restaurant in the north of Cambridge that is within a moderate price range.,1,0,0
34,Please book a table for 4 at the Chinese place at 12:30 on Sunday and give me the reference number.,0,0,1
35,I am also looking for a train that goes to broxbourne on monday.,1,0,0
36,I would like to arrive in broxbourne by 13:00.,1,0,0
37,Can I just get the price on one of them?,1,0,0
38,Please book one.,1,0,0
39,"Just one, thank you! Please provide me with a reference number.",0,1,0
40,"No, thank you. That will be all for today. Thanks.",0,0,1
41,Find me a train that leaves on Sunday after 14:00 please,1,0,0
42,I am leaving norwich going to cambridge on sunday and I need a train that leaves the station any time after 14:00,1,0,0
43,Yes. Give me the ref number please.,1,0,0
44,I would like one train ticket please.,0,1,0
45,"Yes I am looking for a moderate priced place to eat in the east. Phone #, postcode and food type please",0,0,1
46,I would prefer Italian but Indian would be good as well. I will need the phone number and postcode of the restaurant. Thanks!,0,0,1
47,Thanks for helping me with this. I appreciate it! Goodbye!,0,0,1
48,I need to book a train to norwich that arrives by 16:15.,1,0,0
49,I want to leave on Wednesday from Cambridge.,1,0,0
50,What is the price and travel time?,1,0,0
51,And what is the travel time?,1,0,0
52,Thanks! Can you also tell me if there are any multiple sports attractions in the center of town?,0,0,1
53,Thats ok. I really want something in the centre. How about any suggestions on a good college to visit?,0,0,1
54,Could you please get me the phone number?,0,0,1
55,Thank you. That is all that I need.,0,0,1
56,I need a place to stay that has free wifi.,0,0,1
57,could you provide details for something in the cheap price range?,1,0,0
58,"No, I have no preference. Just pick one. That will be fine.",0,0,1
59,"Perfect. I'll need a room for myself, for five nights on tuesday.",0,0,1
60,"Nope, that's it. Thanks!",0,0,1
61,"Actaully i will be on business so not out much but I do need a train, to cambridge leaving after 21:15",1,0,0
62,"Yes, I need a train going to cambridge leaving after 21:15 on tuesday departing from broxbourne.",1,0,0
63,I need a train after 21:15.,1,0,0
64,No thank you. I just need the train ID and arrival time for one of them.,1,0,0
65,"Great, thanks for that information on the train. Can you book for a train leaving after 21:15?",1,0,0
66,I need tickets for one person.,0,1,0
67,that is all i needed for today. thanks alot,0,0,1
68,I am looking for a train to Ely.,1,0,0
69,"I need to leave a little after 8:00 on Sunday, and I'm leaving from Cambridge.",1,0,0
70,That will have to work. What is the arrival time?,1,0,0
71,Perfect! That's all I needed to know. Thanks. Have a great day.,0,0,1
72,I need to take a train from bishops stortford to Cambridge. Ill need to leave after 9:00,1,0,0
73,I want to leave on Sunday.,1,0,0
74,That will work can you book that for me please?,1,0,0
75,"Actually, I don't need a booking. I just need to know when it arrives, thanks.",1,0,0
76,Thank you. I am also looking for a park to go to.,0,0,1
77,no specific area. just recommend one.,0,0,1
78,"Great! Please, give me the address of the park.",0,0,1
79,Thank you so much for your time. Have a nice day!,0,0,1
80,I am planning a vacation and really could use some help finding a good place to stay in town. I've never been to Cambridge before.,1,0,0
81,It doesn't matter. What do you recommend?,0,0,1
82,"Oh, ok. I really don't want to stay at a guesthouse though. Can you recommend a hotel instead?",0,0,1
83,Sounds good. Can you get me a room for 2 for 5 nights starting Sunday?,1,0,0
84,What is the train schedule from birmingham new street like? I need to arrive at 13:45.,1,0,0
85,I need the travel day to be Sunday. I'll be going to Cambridge and arrive by 13:45. I'll be leaving from Birmingham New street.,1,0,0
86,What is the travel time on that train?,1,0,0
87,Excellent. Thanks for all the help!,0,0,1
88,"Yes, thanks very much! Have a great day!",0,0,1
89,You too! Thanks so much for all the help. Please end the convo and read the directions next time. thanks,0,0,1
90,I'm wanting a train that leaves on Friday and goes to Cambridge.,1,0,0
91,"I want to leave after 16:45, depart from Birmingham New Street.",1,0,0
92,This time works fine for me.,0,1,0
93,"thanks, i'm also looking for some museums.",0,0,1
94,"Yes, do you have any in the centre?",0,0,1
